dataID,originalLabel,trueLabel,llama3.2:1b_EMO01,e1,e2,title,abstract,llama3.2:1b_EMO01__raw
22,none,0,1,cyclosporine,scleroderma renal crisis,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: No
3: No
4: No
5: No
6: Yes
7: Yes
8: Yes
9: Yes
10: Yes"
23,none,0,1,cyclosporine,src,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: No
3: No
4: No
5: No
6: Yes
7: Yes
8: Yes
9: Yes
10: Yes"
24,none,0,1,cyclosporine,systemic sclerosis,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: No
3: No
4: No
5: No
6: Yes
7: Yes
8: Yes
9: Yes
10: Yes"
25,none,0,1,cyclosporine,ssc,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: No
3: No
4: No
5: No
6: Yes
7: Yes
8: Yes
9: Yes
10: Yes"
26,cid,1,1,cyclosporine,thrombotic microangiopathy,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: No
3: No
4: No
5: No
6: Yes
7: Yes
8: Yes
9: Yes
10: Yes"
27,none,0,0,corticosteroids,scleroderma renal crisis,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: No
3: No
4: No
5: No"
28,none,0,0,corticosteroids,src,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: No
3: No
4: No
5: No"
29,cid,1,0,corticosteroids,systemic sclerosis,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: No
3: No
4: No
5: No"
30,cid,1,0,corticosteroids,ssc,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: No
3: No
4: No
5: No"
31,none,0,0,corticosteroids,thrombotic microangiopathy,late-onset scleroderma renal crisis induced by tacrolimus and prednisolone: a case report.,"scleroderma renal crisis (src) is a rare complication of systemic sclerosis (ssc) but can be severe enough to require temporary or permanent renal replacement therapy. moderate to high dose corticosteroid use is recognized as a major risk factor for src. furthermore, there have been reports of thrombotic microangiopathy precipitated by cyclosporine in patients with ssc. in this article, we report a patient with src induced by tacrolimus and corticosteroids. the aim of this work is to call attention to the risk of tacrolimus use in patients with ssc.","1: No
2: No
3: No
4: No
5: No"
32,cid,1,0,methamphetamine,psychosis,the risk and associated factors of methamphetamine psychosis in methamphetamine-dependent patients in malaysia.,"objective: the objective of this study was to determine the risk of lifetime and current methamphetamine-induced psychosis in patients with methamphetamine dependence. the association between psychiatric co-morbidity and methamphetamine-induced psychosis was also studied. methods: this was a cross-sectional study conducted concurrently at a teaching hospital and a drug rehabilitation center in malaysia. patients with the diagnosis of methamphetamine based on dsm-iv were interviewed using the mini international neuropsychiatric interview (m.i.n.i.) for methamphetamine-induced psychosis and other axis i psychiatric disorders. the information on sociodemographic background and drug use history was obtained from interview or medical records. results: of 292 subjects, 47.9% of the subjects had a past history of psychotic symptoms and 13.0% of the patients were having current psychotic symptoms. co-morbid major depressive disorder (or=7.18, 95 ci=2.612-19.708), bipolar disorder (or=13.807, 95 ci=5.194-36.706), antisocial personality disorder (or=12.619, 95 ci=6.702-23.759) and heavy methamphetamine uses were significantly associated with lifetime methamphetamine-induced psychosis after adjusted for other factors. major depressive disorder (or=2.870, ci=1.154-7.142) and antisocial personality disorder (or=3.299, 95 ci=1.375-7.914) were the only factors associated with current psychosis. conclusion: there was a high risk of psychosis in patients with methamphetamine dependence. it was associated with co-morbid affective disorder, antisocial personality, and heavy methamphetamine use. it is recommended that all cases of methamphetamine dependence should be screened for psychotic symptoms.","1: No
2: Yes
3: Yes
4: Yes
5: Yes
6: Yes
7: Yes
8: Yes
9: Yes"
33,none,0,1,methamphetamine,psychiatric disorders,the risk and associated factors of methamphetamine psychosis in methamphetamine-dependent patients in malaysia.,"objective: the objective of this study was to determine the risk of lifetime and current methamphetamine-induced psychosis in patients with methamphetamine dependence. the association between psychiatric co-morbidity and methamphetamine-induced psychosis was also studied. methods: this was a cross-sectional study conducted concurrently at a teaching hospital and a drug rehabilitation center in malaysia. patients with the diagnosis of methamphetamine based on dsm-iv were interviewed using the mini international neuropsychiatric interview (m.i.n.i.) for methamphetamine-induced psychosis and other axis i psychiatric disorders. the information on sociodemographic background and drug use history was obtained from interview or medical records. results: of 292 subjects, 47.9% of the subjects had a past history of psychotic symptoms and 13.0% of the patients were having current psychotic symptoms. co-morbid major depressive disorder (or=7.18, 95 ci=2.612-19.708), bipolar disorder (or=13.807, 95 ci=5.194-36.706), antisocial personality disorder (or=12.619, 95 ci=6.702-23.759) and heavy methamphetamine uses were significantly associated with lifetime methamphetamine-induced psychosis after adjusted for other factors. major depressive disorder (or=2.870, ci=1.154-7.142) and antisocial personality disorder (or=3.299, 95 ci=1.375-7.914) were the only factors associated with current psychosis. conclusion: there was a high risk of psychosis in patients with methamphetamine dependence. it was associated with co-morbid affective disorder, antisocial personality, and heavy methamphetamine use. it is recommended that all cases of methamphetamine dependence should be screened for psychotic symptoms.","1: No
2: Yes
3: Yes
4: Yes
5: Yes
6: Yes
7: Yes
8: Yes
9: Yes"
34,cid,1,1,methamphetamine,psychotic symptoms,the risk and associated factors of methamphetamine psychosis in methamphetamine-dependent patients in malaysia.,"objective: the objective of this study was to determine the risk of lifetime and current methamphetamine-induced psychosis in patients with methamphetamine dependence. the association between psychiatric co-morbidity and methamphetamine-induced psychosis was also studied. methods: this was a cross-sectional study conducted concurrently at a teaching hospital and a drug rehabilitation center in malaysia. patients with the diagnosis of methamphetamine based on dsm-iv were interviewed using the mini international neuropsychiatric interview (m.i.n.i.) for methamphetamine-induced psychosis and other axis i psychiatric disorders. the information on sociodemographic background and drug use history was obtained from interview or medical records. results: of 292 subjects, 47.9% of the subjects had a past history of psychotic symptoms and 13.0% of the patients were having current psychotic symptoms. co-morbid major depressive disorder (or=7.18, 95 ci=2.612-19.708), bipolar disorder (or=13.807, 95 ci=5.194-36.706), antisocial personality disorder (or=12.619, 95 ci=6.702-23.759) and heavy methamphetamine uses were significantly associated with lifetime methamphetamine-induced psychosis after adjusted for other factors. major depressive disorder (or=2.870, ci=1.154-7.142) and antisocial personality disorder (or=3.299, 95 ci=1.375-7.914) were the only factors associated with current psychosis. conclusion: there was a high risk of psychosis in patients with methamphetamine dependence. it was associated with co-morbid affective disorder, antisocial personality, and heavy methamphetamine use. it is recommended that all cases of methamphetamine dependence should be screened for psychotic symptoms.","1: No
2: Yes
3: Yes
4: Yes
5: Yes
6: Yes
7: Yes
8: Yes
9: Yes"
35,none,0,1,methamphetamine,depressive disorder,the risk and associated factors of methamphetamine psychosis in methamphetamine-dependent patients in malaysia.,"objective: the objective of this study was to determine the risk of lifetime and current methamphetamine-induced psychosis in patients with methamphetamine dependence. the association between psychiatric co-morbidity and methamphetamine-induced psychosis was also studied. methods: this was a cross-sectional study conducted concurrently at a teaching hospital and a drug rehabilitation center in malaysia. patients with the diagnosis of methamphetamine based on dsm-iv were interviewed using the mini international neuropsychiatric interview (m.i.n.i.) for methamphetamine-induced psychosis and other axis i psychiatric disorders. the information on sociodemographic background and drug use history was obtained from interview or medical records. results: of 292 subjects, 47.9% of the subjects had a past history of psychotic symptoms and 13.0% of the patients were having current psychotic symptoms. co-morbid major depressive disorder (or=7.18, 95 ci=2.612-19.708), bipolar disorder (or=13.807, 95 ci=5.194-36.706), antisocial personality disorder (or=12.619, 95 ci=6.702-23.759) and heavy methamphetamine uses were significantly associated with lifetime methamphetamine-induced psychosis after adjusted for other factors. major depressive disorder (or=2.870, ci=1.154-7.142) and antisocial personality disorder (or=3.299, 95 ci=1.375-7.914) were the only factors associated with current psychosis. conclusion: there was a high risk of psychosis in patients with methamphetamine dependence. it was associated with co-morbid affective disorder, antisocial personality, and heavy methamphetamine use. it is recommended that all cases of methamphetamine dependence should be screened for psychotic symptoms.","1: No
2: Yes
3: Yes
4: Yes
5: Yes
6: Yes
7: Yes
8: Yes
9: Yes"
36,cid,1,1,methamphetamine,bipolar disorder,the risk and associated factors of methamphetamine psychosis in methamphetamine-dependent patients in malaysia.,"objective: the objective of this study was to determine the risk of lifetime and current methamphetamine-induced psychosis in patients with methamphetamine dependence. the association between psychiatric co-morbidity and methamphetamine-induced psychosis was also studied. methods: this was a cross-sectional study conducted concurrently at a teaching hospital and a drug rehabilitation center in malaysia. patients with the diagnosis of methamphetamine based on dsm-iv were interviewed using the mini international neuropsychiatric interview (m.i.n.i.) for methamphetamine-induced psychosis and other axis i psychiatric disorders. the information on sociodemographic background and drug use history was obtained from interview or medical records. results: of 292 subjects, 47.9% of the subjects had a past history of psychotic symptoms and 13.0% of the patients were having current psychotic symptoms. co-morbid major depressive disorder (or=7.18, 95 ci=2.612-19.708), bipolar disorder (or=13.807, 95 ci=5.194-36.706), antisocial personality disorder (or=12.619, 95 ci=6.702-23.759) and heavy methamphetamine uses were significantly associated with lifetime methamphetamine-induced psychosis after adjusted for other factors. major depressive disorder (or=2.870, ci=1.154-7.142) and antisocial personality disorder (or=3.299, 95 ci=1.375-7.914) were the only factors associated with current psychosis. conclusion: there was a high risk of psychosis in patients with methamphetamine dependence. it was associated with co-morbid affective disorder, antisocial personality, and heavy methamphetamine use. it is recommended that all cases of methamphetamine dependence should be screened for psychotic symptoms.","1: No
2: Yes
3: Yes
4: Yes
5: Yes
6: Yes
7: Yes
8: Yes
9: Yes"
37,cid,1,1,methamphetamine,antisocial personality disorder,the risk and associated factors of methamphetamine psychosis in methamphetamine-dependent patients in malaysia.,"objective: the objective of this study was to determine the risk of lifetime and current methamphetamine-induced psychosis in patients with methamphetamine dependence. the association between psychiatric co-morbidity and methamphetamine-induced psychosis was also studied. methods: this was a cross-sectional study conducted concurrently at a teaching hospital and a drug rehabilitation center in malaysia. patients with the diagnosis of methamphetamine based on dsm-iv were interviewed using the mini international neuropsychiatric interview (m.i.n.i.) for methamphetamine-induced psychosis and other axis i psychiatric disorders. the information on sociodemographic background and drug use history was obtained from interview or medical records. results: of 292 subjects, 47.9% of the subjects had a past history of psychotic symptoms and 13.0% of the patients were having current psychotic symptoms. co-morbid major depressive disorder (or=7.18, 95 ci=2.612-19.708), bipolar disorder (or=13.807, 95 ci=5.194-36.706), antisocial personality disorder (or=12.619, 95 ci=6.702-23.759) and heavy methamphetamine uses were significantly associated with lifetime methamphetamine-induced psychosis after adjusted for other factors. major depressive disorder (or=2.870, ci=1.154-7.142) and antisocial personality disorder (or=3.299, 95 ci=1.375-7.914) were the only factors associated with current psychosis. conclusion: there was a high risk of psychosis in patients with methamphetamine dependence. it was associated with co-morbid affective disorder, antisocial personality, and heavy methamphetamine use. it is recommended that all cases of methamphetamine dependence should be screened for psychotic symptoms.","1: No
2: Yes
3: Yes
4: Yes
5: Yes
6: Yes
7: Yes
8: Yes
9: Yes"
